ID,repository_owner,repository_name,source_dataset,stargazers_count,total_repo_commits_after_manifest_initialization,Note,file_url,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
6,cortesi,musq,agents,7.0,86,,https://github.com/cortesi/musq/blob/main/AGENTS.md,Build  & Run,Development Process,Documentation & References,,,,,,,,,,,,
4,Rello,analytics,agents,136.0,212,,https://github.com/Rello/analytics/blob/master/AGENTS.md,System Overview,Architecture,Claude/AI Integration,Development Process,,,,,,,,,,,
3,seasonedcc,remix-forms,agents,515.0,126,,https://github.com/seasonedcc/remix-forms/blob/main/AGENTS.md,Build  & Run,Implementation Details,Test,Architecture,Development Process,Debugging,Claude/AI Integration,,,,,,,,
12,mirage335-colossus,ubiquitous_bash,agents,32.0,187,,https://github.com/mirage335-colossus/ubiquitous_bash/blob/master/AGENTS.md,System Overview,Architecture,Implementation Details,Debugging,Test,Development Process,Documentation & References,,,,,,,,
33,KarlTDebiec,Scinoephile,agents,6.0,99,,https://github.com/KarlTDebiec/Scinoephile/blob/master/AGENTS.md,Build  & Run,Test,Implementation Details,Development Process,Documentation & References,,,,,,,,,,
5,blockscout,mcp-server,agents,21.0,100,,https://github.com/blockscout/mcp-server/blob/main/AGENTS.md,Architecture,System Overview,,,,,,,,,,,,,
20,BittnerPierre,AI-Agent-Casebook,agents,12.0,139,,https://github.com/BittnerPierre/AI-Agent-Casebook/blob/main/AGENTS.md,Implementation Details,Claude/AI Integration,Project Management,Development Process,,,,,,,,,,,
10,FarmBot,Farmbot-Web-App,agents,953.0,87,,https://github.com/FarmBot/Farmbot-Web-App/blob/main/AGENTS.md,Build  & Run,Implementation Details,Test,Documentation & References,,,,,,,,,,,
15,open5e,open5e-api,agents,173.0,124,,https://github.com/open5e/open5e-api/blob/main/AGENTS.md,System Overview,Implementation Details,Claude/AI Integration,,,,,,,,,,,,
11,sequinstream,sequin,agents,1693.0,565,,https://github.com/sequinstream/sequin/blob/main/AGENTS.md,Build  & Run,Test,Implementation Details,,,,,,,,,,,,
9,SwitchbackTech,compass,agents,198.0,145,,https://github.com/SwitchbackTech/compass/blob/main/AGENTS.md,Architecture,Implementation Details,Documentation & References,Configuration & Environment,Test,,,,,,,,,,
