#,repository_owner,repository_name,source_dataset,stargazers_count,total_repo_commits_after_manifest_initialization,Note,file_url,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
7,cortesi,musq,agents,7.0,86,,https://github.com/cortesi/musq/blob/main/AGENTS.md,Implementation Details,Claude/AI Integration,Build  & Run,,,,,,,,,,,,
4,Rello,analytics,agents,136.0,212,,https://github.com/Rello/analytics/blob/master/AGENTS.md,Implementation Details,Test,Build  & Run,Debugging,,,,,,,,,,,
3,seasonedcc,remix-forms,agents,515.0,126,,https://github.com/seasonedcc/remix-forms/blob/main/AGENTS.md,Implementation Details,Configuration & Environment,Development Process,System Overview,,,,,,,,,,,
15,mirage335-colossus,ubiquitous_bash,agents,32.0,187,,https://github.com/mirage335-colossus/ubiquitous_bash/blob/master/AGENTS.md,Build  & Run,System Overview,Test,Debugging,,,,,,,,,,,
43,KarlTDebiec,Scinoephile,agents,6.0,99,,https://github.com/KarlTDebiec/Scinoephile/blob/master/AGENTS.md,Documentation & References,Security,Claude/AI Integration,Performance,,,,,,,,,,,
6,blockscout,mcp-server,agents,21.0,100,,https://github.com/blockscout/mcp-server/blob/main/AGENTS.md,Test,System Overview,Architecture,Documentation & References,Project Management,,,,,,,,,,
26,BittnerPierre,AI-Agent-Casebook,agents,12.0,139,,https://github.com/BittnerPierre/AI-Agent-Casebook/blob/main/AGENTS.md,Implementation Details,System Overview,Configuration & Environment,,,,,,,,,,,,
13,FarmBot,Farmbot-Web-App,agents,953.0,87,,https://github.com/FarmBot/Farmbot-Web-App/blob/main/AGENTS.md,Implementation Details,Test,Build  & Run,Development Process,Configuration & Environment,,,,,,,,,,
21,open5e,open5e-api,agents,173.0,124,,https://github.com/open5e/open5e-api/blob/main/AGENTS.md,Implementation Details,System Overview,Test,UI/UX,,,,,,,,,,,
14,sequinstream,sequin,agents,1693.0,565,,https://github.com/sequinstream/sequin/blob/main/AGENTS.md,Implementation Details,UI/UX,Test,Security,Performance,,,,,,,,,,
