repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
arc42,quality.arc42.org-site,https://github.com/arc42/quality.arc42.org-site,46.58658508158513,56.68785425101217,61.66989268292684
logancyang,obsidian-copilot,https://github.com/logancyang/obsidian-copilot,-0.5924705320165344,35.92179247625552,36.20719648273871
heyverse,hey,https://github.com/heyverse/hey,55.81930272108846,65.48084433962265,73.34726539589444
langfuse,langfuse,https://github.com/langfuse/langfuse,37.6065090909091,47.5229166666667,51.51163195759182
skhomuti,csm-sentinel,https://github.com/skhomuti/csm-sentinel,42.90974607329844,58.64407681297709,60.64681305944151
kfastov,telegram-mcp-server,https://github.com/kfastov/telegram-mcp-server,37.990374193548405,45.91623529411768,51.594413274204015
njfio,fluent_cli,https://github.com/njfio/fluent_cli,37.49056973400431,50.5224225532304,52.397401415571295
jfbosch,Mutation,https://github.com/jfbosch/Mutation,52.94174242424245,62.36590517241382,
TulevaEE,onboarding-service,https://github.com/TulevaEE/onboarding-service,-0.8321390696364688,40.2904512075946,38.48521250322139
twitchax,triage-bot,https://github.com/twitchax/triage-bot,39.01591025641028,48.07982625482629,54.147316368286454
nextcloud,desktop,https://github.com/nextcloud/desktop,54.436398305084765,59.9721144674086,57.61818979057594
sbalci,ClinicoPathJamoviModule,https://github.com/sbalci/ClinicoPathJamoviModule,30.20035714285717,45.65686536040292,48.837231818181834
killerapp,continuous-image-gen,https://github.com/killerapp/continuous-image-gen,83.32000000000004,83.32000000000004,
quokka-astro,quokka,https://github.com/quokka-astro/quokka,43.48040037831024,50.750764238558816,46.01592004381163
pdm-project,pdm,https://github.com/pdm-project/pdm,15.342763157894725,35.526707317073175,29.036302521008423
rainbow-me,browser-extension,https://github.com/rainbow-me/browser-extension,0.0,,
rainbow-me,rainbowkit,https://github.com/rainbow-me/rainbowkit,48.58313384985309,53.64295731707318,55.544089147286826
PedramNavid,dbtpal,https://github.com/PedramNavid/dbtpal,46.435,47.78833333333333,
Pedal-Intelligence,saypi-userscript,https://github.com/Pedal-Intelligence/saypi-userscript,45.71556584093875,58.864752396589154,58.610411015633105
Uniswap,interface,https://github.com/Uniswap/interface,25.335500000000025,43.95954545454549,42.376730911786524
rob-luke,conversations,https://github.com/rob-luke/conversations,45.73333333333335,52.81125730994154,56.34861767782428
drmichaeldouglass,DICOMator,https://github.com/drmichaeldouglass/DICOMator,28.283917035022117,31.430487895716965,36.06331275620934
Dereje1,smart-recipe-generator,https://github.com/Dereje1/smart-recipe-generator,54.74120619633328,61.34413205239812,66.3930701754386
sam-goodwin,alchemy,https://github.com/sam-goodwin/alchemy,26.419470046082974,36.98071464267866,33.910961225911336
OSU-NLP-Group,saev,https://github.com/OSU-NLP-Group/saev,54.62523503724637,63.29906637345064,64.81458339920951
jafioti,luminal,https://github.com/jafioti/luminal,43.65026785714287,54.462543859649145,53.91584639498436
ZumitoTeam,zumito-framework,https://github.com/ZumitoTeam/zumito-framework,21.563500000000005,24.440000000000026,
ZumitoTeam,zumito-bot,https://github.com/ZumitoTeam/zumito-bot,27.04244347826088,41.521774193548396,39.01865464029564
lunary-ai,lunary,https://github.com/lunary-ai/lunary,38.30000785656222,53.19009647290159,56.62492188770375
caunt,Void,https://github.com/caunt/Void,36.42838613186595,44.33146379044686,51.34353377630123
janbjorge,pgqueuer,https://github.com/janbjorge/pgqueuer,44.900626993865046,46.24202279202282,46.069488586479366
uxlfoundation,oneDAL,https://github.com/uxlfoundation/oneDAL,-10.089518527449512,30.612847124824725,18.340698319027183
6529-Collections,6529seize-backend,https://github.com/6529-Collections/6529seize-backend,65.83986842105264,69.23721751412432,61.10271848739498
PrefectHQ,prefect,https://github.com/PrefectHQ/prefect,21.08789592033412,48.79654936305735,46.91056210191084
PrefectHQ,prefect-operator,https://github.com/PrefectHQ/prefect-operator,6.168958883994151,34.63854300385108,37.1597342279087
hirosystems,explorer,https://github.com/hirosystems/explorer,44.58070451436387,51.562941176470616,61.243889257294455
opral,monorepo,https://github.com/opral/monorepo,61.42795945945946,65.8071525423729,72.6508823529412
rhamenator,ai-scraping-defense,https://github.com/rhamenator/ai-scraping-defense,40.60039970930234,45.490277219766995,46.796904761904784
LayerZero-Labs,devtools,https://github.com/LayerZero-Labs/devtools,33.58597560975613,46.61280172413797,50.23553309680429
swc-project,swc,https://github.com/swc-project/swc,68.38757142857142,68.16839873417723,
ottogroup,pixaris,https://github.com/ottogroup/pixaris,29.06775555555558,50.87576744186046,44.016627906976765
ArjenSchwarz,fog,https://github.com/ArjenSchwarz/fog,47.3881292785677,53.91429427687552,56.18510533707865
rebelosa,feature-importance-neural-networks,https://github.com/rebelosa/feature-importance-neural-networks,19.775645161290328,41.64263157894737,45.41349983238351
gofiber,cli,https://github.com/gofiber/cli,72.61545454545457,78.19795454545455,
gofiber,fiber,https://github.com/gofiber/fiber,49.28269943593878,51.85971659919031,54.35716233766237
malgo-lang,malgo,https://github.com/malgo-lang/malgo,42.30551948051951,57.526495130174226,57.83512212378494
BrianLeishman,go-imap,https://github.com/BrianLeishman/go-imap,50.24842105263161,55.750388121350255,57.927980289421185
