repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
accretion-xyz,solana-data-reverser,https://github.com/accretion-xyz/solana-data-reverser,81.20666666666669,80.43622807017547,
Iamshankhadeep,ccseva,https://github.com/Iamshankhadeep/ccseva,14.99417793204242,30.5442847906902,29.6140576506032
tokoroten,NovelDrive,https://github.com/tokoroten/NovelDrive,64.02328571428572,61.502200000000016,68.69511212311559
kenfdev,claude-code-todo-app,https://github.com/kenfdev/claude-code-todo-app,19.584791259459763,48.91337996890965,47.918746811719586
toruta39,threejs-dash-gen,https://github.com/toruta39/threejs-dash-gen,-1.2146144302347466,31.069411764705876,36.906064847806164
fcoury,husk,https://github.com/fcoury/husk,92.6275,96.85666666666667,
codeforjapan,BirdXplorer,https://github.com/codeforjapan/BirdXplorer,39.331000000000046,62.255000000000024,54.84575741801146
nguyenvanduocit,google-kit,https://github.com/nguyenvanduocit/google-kit,21.981870545624503,34.401532889941706,28.57903468208096
nguyenvanduocit,jira-mcp,https://github.com/nguyenvanduocit/jira-mcp,10.77893280632412,31.975039675542234,32.18293695131683
logancyang,obsidian-copilot,https://github.com/logancyang/obsidian-copilot,3.748500219121581,36.86861326740609,36.7004781465659
lgallard,terraform-aws-secrets-manager,https://github.com/lgallard/terraform-aws-secrets-manager,-10.686115288220549,18.989594286269124,17.33780405405409
lgallard,terraform-aws-cognito-user-pool,https://github.com/lgallard/terraform-aws-cognito-user-pool,-4.939123931623897,14.20370099271176,11.796974951830464
lgallard,terraform-aws-backup,https://github.com/lgallard/terraform-aws-backup,-18.14808314243359,8.229080853453155,3.7205929798357147
lgallard,terraform-aws-ecr,https://github.com/lgallard/terraform-aws-ecr,-8.223433208489382,8.304548578632762,3.6485634566326723
langfuse,langfuse,https://github.com/langfuse/langfuse,21.077552752849897,48.95403634729908,51.10109835984832
langfuse,langfuse-docs,https://github.com/langfuse/langfuse-docs,10.752374204742637,30.895054922279797,31.193163619918153
langfuse,langfuse-python,https://github.com/langfuse/langfuse-python,23.03726190476192,37.894000000000034,33.69400000000002
njfio,fluent_cli,https://github.com/njfio/fluent_cli,6.797916721397627,26.313680555555578,30.165783132530123
MystenLabs,ts-sdks,https://github.com/MystenLabs/ts-sdks,29.47873845405934,37.76743512511587,40.58309523809527
TerraConstructs,base,https://github.com/TerraConstructs/base,17.869219791236702,41.77024064171127,44.2226848648649
ably,ably-chat-js,https://github.com/ably/ably-chat-js,24.71756367354527,52.0820788521288,55.59676620117128
aldrin-labs,opensvm,https://github.com/aldrin-labs/opensvm,-9.304303483853404,28.50181419546638,27.237935399272857
TulevaEE,onboarding-service,https://github.com/TulevaEE/onboarding-service,41.03333333333336,48.244022988505776,
miurla,morphic,https://github.com/miurla/morphic,28.7617269306283,47.708593645665076,49.149307082664535
jdereg,json-io,https://github.com/jdereg/json-io,21.97499195494771,44.10125419851272,46.09410592615973
isucon,isucon9-qualify,https://github.com/isucon/isucon9-qualify,15.5011111111111,29.50000000000003,27.090709459459475
sbalci,jjstatsplot,https://github.com/sbalci/jjstatsplot,16.197268825116538,34.32635926573428,30.53022013274338
sbalci,ClinicoPathJamoviModule,https://github.com/sbalci/ClinicoPathJamoviModule,4.482409622452394,27.690225781845953,20.922729660606933
promptfoo,promptfoo,https://github.com/promptfoo/promptfoo,31.090831421244445,49.78459579180512,51.00693912373404
myuon,gallon,https://github.com/myuon/gallon,24.83055384615386,42.70008771929827,43.533187500000025
ajanraj,OpenChat,https://github.com/ajanraj/OpenChat,43.17073423153502,56.08095101676858,60.9101081761886
killerapp,continuous-image-gen,https://github.com/killerapp/continuous-image-gen,8.26176470588237,34.93146341463415,28.840662914321484
quokka-astro,quokka,https://github.com/quokka-astro/quokka,20.48746666666668,48.210850496319836,44.42514053254439
jonobr1,two.js,https://github.com/jonobr1/two.js,15.47932822757113,45.277397849462375,47.43710185642158
pdm-project,pdm,https://github.com/pdm-project/pdm,0.0,,
rainbow-me,browser-extension,https://github.com/rainbow-me/browser-extension,12.767500000000013,42.06264705882356,40.510753987730055
truenas,webui,https://github.com/truenas/webui,28.2415866608564,50.91917525773198,53.06097368862075
o-ga09,MH-API,https://github.com/o-ga09/MH-API,57.70352941176472,73.48309523809526,
