repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
oscript-library,opm,https://github.com/oscript-library/opm,84.58607142857144,84.58607142857144,118.02014415481834
NewFuture,DDNS,https://github.com/NewFuture/DDNS,28.44110256410258,28.44110256410258,15.162540867550547
alandtse,alexa_media_player,https://github.com/alandtse/alexa_media_player,14.991825891423076,14.991825891423076,-0.9784358288769681
vespa-engine,pyvespa,https://github.com/vespa-engine/pyvespa,2.650410459106155,2.650410459106155,-19.7776859504132
ably,ably-chat-js,https://github.com/ably/ably-chat-js,32.32359587020653,32.32359587020653,27.219055675782045
aldrin-labs,opensvm,https://github.com/aldrin-labs/opensvm,26.327042819423752,26.327042819423752,28.98525762355419
jamesmontemagno,feedbackflow,https://github.com/jamesmontemagno/feedbackflow,4.126645389904525,4.126645389904525,-63.74034952300144
jamesmontemagno,bingo-o-matic,https://github.com/jamesmontemagno/bingo-o-matic,-32.922547071129685,-32.922547071129685,-222.80600515463914
twitchax,triage-bot,https://github.com/twitchax/triage-bot,45.55411290322584,45.55411290322584,37.40438709677423
Advance-Technologies-Foundation,clio,https://github.com/Advance-Technologies-Foundation/clio,24.53009489575848,24.53009489575848,23.894761026644602
jdereg,java-util,https://github.com/jdereg/java-util,23.61040127923644,23.61040127923644,4.249432413136617
ccampora,mcp_xpp,https://github.com/ccampora/mcp_xpp,73.36732558139536,73.36732558139536,
o-ga09,MH-API,https://github.com/o-ga09/MH-API,78.2917391304348,78.2917391304348,105.67100000000002
chimurai,requirements,https://github.com/chimurai/requirements,34.532272727272726,34.532272727272726,
ubiquiti-community,terraform-provider-unifi,https://github.com/ubiquiti-community/terraform-provider-unifi,-9.31454022988504,-9.31454022988504,-18.59276655996058
steffen,git-metrics,https://github.com/steffen/git-metrics,57.06826923076926,57.06826923076926,
github-copilot-resources,copilot-metrics-viewer,https://github.com/github-copilot-resources/copilot-metrics-viewer,17.794134961084126,17.794134961084126,-9.804304549405941
