repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
oscript-library,opm,https://github.com/oscript-library/opm,84.58607142857144,62.47400684931512,
NewFuture,DDNS,https://github.com/NewFuture/DDNS,28.44110256410258,40.65444591479553,36.57297474471574
alandtse,alexa_media_player,https://github.com/alandtse/alexa_media_player,14.991825891423076,31.226099237622066,35.843805361305385
vespa-engine,pyvespa,https://github.com/vespa-engine/pyvespa,2.650410459106155,29.64723475609759,26.759256358211047
ably,ably-chat-js,https://github.com/ably/ably-chat-js,32.32359587020653,53.01414613404165,52.29271991840889
aldrin-labs,opensvm,https://github.com/aldrin-labs/opensvm,26.327042819423752,46.62318067978538,45.00486809664696
jamesmontemagno,feedbackflow,https://github.com/jamesmontemagno/feedbackflow,4.126645389904525,36.40793650793654,36.15920997056011
jamesmontemagno,bingo-o-matic,https://github.com/jamesmontemagno/bingo-o-matic,-32.922547071129685,33.43558416868305,30.77096808084852
twitchax,triage-bot,https://github.com/twitchax/triage-bot,45.55411290322584,52.934407894736864,52.41547495682212
Advance-Technologies-Foundation,clio,https://github.com/Advance-Technologies-Foundation/clio,24.53009489575848,37.527577890816644,39.63446793919738
jdereg,java-util,https://github.com/jdereg/java-util,23.61040127923644,46.199795466388736,45.516541362836335
ccampora,mcp_xpp,https://github.com/ccampora/mcp_xpp,73.36732558139536,73.5387449799197,
o-ga09,MH-API,https://github.com/o-ga09/MH-API,78.2917391304348,71.81500000000001,
chimurai,requirements,https://github.com/chimurai/requirements,34.532272727272726,45.69727272727275,
ubiquiti-community,terraform-provider-unifi,https://github.com/ubiquiti-community/terraform-provider-unifi,-9.31454022988504,15.300214240705742,5.60696389093593
steffen,git-metrics,https://github.com/steffen/git-metrics,57.06826923076926,60.74428571428575,
github-copilot-resources,copilot-metrics-viewer,https://github.com/github-copilot-resources/copilot-metrics-viewer,17.794134961084126,49.31347562515788,49.43022073578598
OpenCut-app,OpenCut,https://github.com/OpenCut-app/OpenCut,50.69469317413524,59.34322999206458,67.16552386871058
bennycode,trading-signals,https://github.com/bennycode/trading-signals,40.25374649859947,44.23796666666669,44.23796666666669
lunary-ai,lunary,https://github.com/lunary-ai/lunary,28.587957476472667,49.88585201883183,54.46141292442499
caunt,Void,https://github.com/caunt/Void,40.67554347826092,46.60500000000002,
codatio,codat-docs,https://github.com/codatio/codat-docs,37.09449152542376,50.27831782866491,48.25791060044088
clafollett,agenterra,https://github.com/clafollett/agenterra,6.721212121212147,30.176885245901673,
sheldonhull,sheldonhull.com,https://github.com/sheldonhull/sheldonhull.com,46.381220434902986,53.16808542655403,59.087710843373515
shm11C3,HardwareVisualizer,https://github.com/shm11C3/HardwareVisualizer,44.69179775280901,44.045737704918054,
blinqas,station,https://github.com/blinqas/station,46.57376861226922,53.160747064256526,48.70426800998575
dynamoose,dynamoose,https://github.com/dynamoose/dynamoose,58.4971739130435,64.85606060606064,63.50798642533938
gofiber,fiber,https://github.com/gofiber/fiber,61.37160919540233,60.423636363636376,
PrismarineJS,minecraft-data,https://github.com/PrismarineJS/minecraft-data,43.81747099296726,54.49688735177867,50.45068741893647
malgo-lang,malgo,https://github.com/malgo-lang/malgo,14.96678794178797,37.149726617546435,31.695552753257687
dogmatiq,dogma,https://github.com/dogmatiq/dogma,34.839446663594,40.947432432432436,49.53124153085517
yk35,tinyply.net,https://github.com/yk35/tinyply.net,25.489628416062487,44.866181200086345,36.27483254748756
Saksham-Goel1107,Dionysus,https://github.com/Saksham-Goel1107/Dionysus,13.115710334422973,32.9249170439993,36.048222096530935
baserproject,basercms,https://github.com/baserproject/basercms,8.214169278996877,-33.787505241090116,
NOAA-EMC,global-workflow,https://github.com/NOAA-EMC/global-workflow,-3.3369411275223517,24.660605947663726,22.204702195641488
hossain-khan,android-remote-notify,https://github.com/hossain-khan/android-remote-notify,0.5160341314314962,27.036207392819307,24.610631610576945
hossain-khan,android-weather-alert,https://github.com/hossain-khan/android-weather-alert,-19.021166534705717,29.937692990594087,26.271935468306594
acredsfan,autonomous_mower,https://github.com/acredsfan/autonomous_mower,19.3387252897069,37.421159427370924,35.82917863617351
MicroPyramid,opensource-startup-crm,https://github.com/MicroPyramid/opensource-startup-crm,40.33850632911396,47.964316239316275,48.32335158817088
FBoucher,2d6-dungeon-app,https://github.com/FBoucher/2d6-dungeon-app,3.172142857142888,7.798750000000041,
DumbWareio,DumbAssets,https://github.com/DumbWareio/DumbAssets,3.9292104251134674,30.36434909978641,28.82357586571507
Anselmoo,spectrafit,https://github.com/Anselmoo/spectrafit,29.405546218487416,43.33669406928951,47.379999999999995
BBMRI-ERIC,negotiator,https://github.com/BBMRI-ERIC/negotiator,51.135413533834594,58.2242175604805,57.071227027883424
bmosoluciones,now-lms,https://github.com/bmosoluciones/now-lms,33.053148396468885,44.6990806878307,44.54073008849559
blocher,dailyoffice2019,https://github.com/blocher/dailyoffice2019,28.425611940298552,34.44313788895673,33.43065047332922
bdougie,contributor.info,https://github.com/bdougie/contributor.info,21.512496146647635,38.85216257869888,36.46715116752097
codemillmatt,awesome-copilot-example,https://github.com/codemillmatt/awesome-copilot-example,15.759767341663093,32.93678120063194,38.48904791995787
Shaurya-Sethi,circuitron,https://github.com/Shaurya-Sethi/circuitron,29.44774129172714,46.57226960660435,45.7372748769985
ggml-org,llama.cpp,https://github.com/ggml-org/llama.cpp,18.64038901601833,39.23928571428573,39.62582791263421
primer,brand,https://github.com/primer/brand,27.51239316239318,49.121286620356415,52.610448509996274
primer,eslint-plugin-primer-react,https://github.com/primer/eslint-plugin-primer-react,47.53125874125877,58.314750445632825,53.62437323333478
primer,react,https://github.com/primer/react,36.62571229882778,48.91497304739656,52.49993466242256
BarbourSmith,Abundance,https://github.com/BarbourSmith/Abundance,24.612245322245343,36.76846500880285,38.76277530779754
keepassxreboot,keepassxc,https://github.com/keepassxreboot/keepassxc,29.94775687172779,54.14042130365661,56.44794491687736
danielroe,roe.dev,https://github.com/danielroe/roe.dev,2.1337500000000205,50.27825647249193,49.48624889673437
SentriusLLC,Sentrius,https://github.com/SentriusLLC/Sentrius,2.444115161119925,23.140856681034478,22.265808823529426
libetl,local-traffic,https://github.com/libetl/local-traffic,36.19179874213839,42.34981436318614,50.606322314049606
neurodesk,neurocontainers,https://github.com/neurodesk/neurocontainers,16.392745478036204,27.559586129495102,30.27406847444402
ast-grep,ast-grep,https://github.com/ast-grep/ast-grep,42.18836634817061,57.03254850088186,57.19069298691693
ast-grep,ast-grep.github.io,https://github.com/ast-grep/ast-grep.github.io,36.417202797202805,53.83516460485771,55.389373266721066
mlco2,codecarbon,https://github.com/mlco2/codecarbon,22.33646704949413,37.42349708923453,36.15039943733245
catalystneuro,neuroconv,https://github.com/catalystneuro/neuroconv,50.44335047468357,58.57763832658571,63.75000000000003
Chainlit,chainlit,https://github.com/Chainlit/chainlit,39.92909090909095,53.12787969624304,58.760803693570466
hemilabs,ui-monorepo,https://github.com/hemilabs/ui-monorepo,15.41500000000002,42.94161764705885,
valkey-io,valkey-glide,https://github.com/valkey-io/valkey-glide,31.427692307692325,48.04077138849934,43.86846692930271
baynezy,Html2Markdown,https://github.com/baynezy/Html2Markdown,48.173463768115965,55.9317700087951,57.95380257232276
humanwhocodes,crosspost,https://github.com/humanwhocodes/crosspost,19.67419117647063,39.49562171014156,41.449084631207796
ohcnetwork,care_fe,https://github.com/ohcnetwork/care_fe,6.964659578741276,32.08535307958067,32.95625000000001
realtvop,SaltNet,https://github.com/realtvop/SaltNet,67.54038461538464,75.40256944444448,
meza,minecraft-mod-manager,https://github.com/meza/minecraft-mod-manager,22.866903177329363,40.45282025564475,39.91009900990099
meza,Stonecraft,https://github.com/meza/Stonecraft,29.97531109818908,42.717438474159195,42.343500000000034
OWASP,wrongsecrets,https://github.com/OWASP/wrongsecrets,-0.0650970602332563,23.73066005471955,21.505151190794805
