repository_owner,repository_name,file_url,total_h1,total_h2,total_h3,total_h4,total_h5,total_h6,median_h2_under_h1,median_h3_under_h1,median_h4_under_h1,median_h5_under_h1,median_h6_under_h1,median_h3_under_h2,median_h4_under_h2,median_h5_under_h2,median_h6_under_h2,median_h4_under_h3,median_h5_under_h3,median_h6_under_h3,median_h5_under_h4,median_h6_under_h4,median_h6_under_h5,avg_loc_h1,median_loc_h1,avg_loc_h2,median_loc_h2,avg_loc_h3,median_loc_h3,avg_loc_h4,median_loc_h4,avg_loc_h5,median_loc_h5,avg_loc_h6,median_loc_h6
arc42,quality.arc42.org-site,https://github.com/arc42/quality.arc42.org-site/blob/main/AGENTS.md,1,6,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logancyang,obsidian-copilot,https://github.com/logancyang/obsidian-copilot/blob/master/AGENTS.md,1,8,15,0,0,0,8.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,187.0,22.25,18.5,9.933333333333334,5.0,0.0,0.0,0.0,0.0,0.0,0.0
heyverse,hey,https://github.com/heyverse/hey/blob/main/AGENTS.md,1,6,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
langfuse,langfuse,https://github.com/langfuse/langfuse/blob/main/AGENTS.md,1,4,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skhomuti,csm-sentinel,https://github.com/skhomuti/csm-sentinel/blob/main/AGENTS.md,2,12,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,3.8333333333333335,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kfastov,telegram-mcp-server,https://github.com/kfastov/telegram-mcp-server/blob/main/AGENTS.md,1,5,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,4.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
njfio,fluent_cli,https://github.com/njfio/fluent_cli/blob/main/AGENTS.md,1,6,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jfbosch,Mutation,https://github.com/jfbosch/Mutation/blob/main/AGENTS.md,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TulevaEE,onboarding-service,https://github.com/TulevaEE/onboarding-service/blob/master/AGENTS.md,1,2,14,16,0,0,2.0,14.0,16.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,203.0,100.0,100.0,13.142857142857142,5.0,7.125,5.0,0.0,0.0,0.0,0.0
twitchax,triage-bot,https://github.com/twitchax/triage-bot/blob/main/AGENTS.md,1,3,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nextcloud,desktop,https://github.com/nextcloud/desktop/blob/master/AGENTS.md,1,4,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,2.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sbalci,ClinicoPathJamoviModule,https://github.com/sbalci/ClinicoPathJamoviModule/blob/master/AGENTS.md,1,6,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,3.6666666666666665,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdm-project,pdm,https://github.com/pdm-project/pdm/blob/main/AGENTS.md,1,6,11,0,0,0,6.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,7.166666666666667,6.0,1.9090909090909092,1.0,0.0,0.0,0.0,0.0,0.0,0.0
