repository_owner,repository_name,file_url,total_h1,total_h2,total_h3,total_h4,total_h5,total_h6,median_h2_under_h1,median_h3_under_h1,median_h4_under_h1,median_h5_under_h1,median_h6_under_h1,median_h3_under_h2,median_h4_under_h2,median_h5_under_h2,median_h6_under_h2,median_h4_under_h3,median_h5_under_h3,median_h6_under_h3,median_h5_under_h4,median_h6_under_h4,median_h6_under_h5,avg_loc_h1,median_loc_h1,avg_loc_h2,median_loc_h2,avg_loc_h3,median_loc_h3,avg_loc_h4,median_loc_h4,avg_loc_h5,median_loc_h5,avg_loc_h6,median_loc_h6
accretion-xyz,solana-data-reverser,https://github.com/accretion-xyz/solana-data-reverser/blob/main/CLAUDE.md,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iamshankhadeep,ccseva,https://github.com/Iamshankhadeep/ccseva/blob/main/CLAUDE.md,1,9,27,5,0,0,9.0,27.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,15.777777777777779,13.0,4.074074074074074,4.0,3.4,5.0,0.0,0.0,0.0,0.0
tokoroten,NovelDrive,https://github.com/tokoroten/NovelDrive/blob/main/CLAUDE.md,2,12,13,0,0,0,6.0,6.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,51.5,7.166666666666667,8.0,3.076923076923077,3.0,0.0,0.0,0.0,0.0,0.0,0.0
kenfdev,claude-code-todo-app,https://github.com/kenfdev/claude-code-todo-app/blob/main/CLAUDE.md,1,13,8,0,0,0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,9.307692307692308,5.0,6.625,6.0,0.0,0.0,0.0,0.0,0.0,0.0
toruta39,threejs-dash-gen,https://github.com/toruta39/threejs-dash-gen/blob/main/CLAUDE.md,1,4,7,0,0,0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,14.0,2.0,6.142857142857143,5.0,0.0,0.0,0.0,0.0,0.0,0.0
codeforjapan,BirdXplorer,https://github.com/codeforjapan/BirdXplorer/blob/main/CLAUDE.md,1,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nguyenvanduocit,google-kit,https://github.com/nguyenvanduocit/google-kit/blob/main/CLAUDE.md,1,5,10,0,0,0,5.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,9.4,11.0,2.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0
nguyenvanduocit,jira-mcp,https://github.com/nguyenvanduocit/jira-mcp/blob/main/CLAUDE.md,1,8,6,0,0,0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,6.875,5.0,4.333333333333333,3.5,0.0,0.0,0.0,0.0,0.0,0.0
logancyang,obsidian-copilot,https://github.com/logancyang/obsidian-copilot/blob/master/CLAUDE.md,1,8,16,0,0,0,8.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,195.0,23.25,19.0,9.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0
lgallard,terraform-aws-secrets-manager,https://github.com/lgallard/terraform-aws-secrets-manager/blob/master/CLAUDE.md,1,13,39,37,0,0,13.0,39.0,37.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,318.0,23.46153846153846,10.0,6.564102564102564,5.0,3.945945945945946,3.0,0.0,0.0,0.0,0.0
lgallard,terraform-aws-cognito-user-pool,https://github.com/lgallard/terraform-aws-cognito-user-pool/blob/master/CLAUDE.md,1,12,22,2,0,0,12.0,22.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0,10.75,9.0,4.409090909090909,4.0,8.0,8.0,0.0,0.0,0.0,0.0
lgallard,terraform-aws-backup,https://github.com/lgallard/terraform-aws-backup/blob/master/CLAUDE.md,1,15,20,0,0,0,15.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,7.466666666666667,7.0,2.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0
lgallard,terraform-aws-ecr,https://github.com/lgallard/terraform-aws-ecr/blob/master/CLAUDE.md,1,12,29,2,0,0,12.0,29.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,9.583333333333334,8.0,2.5517241379310347,1.0,8.0,8.0,0.0,0.0,0.0,0.0
langfuse,langfuse,https://github.com/langfuse/langfuse/blob/main/CLAUDE.md,1,13,19,0,0,0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,7.153846153846154,3.0,2.8947368421052633,3.0,0.0,0.0,0.0,0.0,0.0,0.0
langfuse,langfuse-docs,https://github.com/langfuse/langfuse-docs/blob/main/CLAUDE.md,1,2,11,0,0,0,2.0,11.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,28.5,28.5,4.090909090909091,4.0,0.0,0.0,0.0,0.0,0.0,0.0
langfuse,langfuse-python,https://github.com/langfuse/langfuse-python/blob/main/CLAUDE.md,1,9,8,0,0,0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,5.333333333333333,4.0,2.625,0.5,0.0,0.0,0.0,0.0,0.0,0.0
njfio,fluent_cli,https://github.com/njfio/fluent_cli/blob/main/CLAUDE.md,1,3,10,0,0,0,3.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,22.666666666666668,12.0,4.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
MystenLabs,ts-sdks,https://github.com/MystenLabs/ts-sdks/blob/main/CLAUDE.md,1,3,8,0,0,0,3.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,9.666666666666666,4.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
TerraConstructs,base,https://github.com/TerraConstructs/base/blob/main/CLAUDE.md,1,7,11,1,0,0,7.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,9.857142857142858,7.0,4.7272727272727275,4.0,7.0,7.0,0.0,0.0,0.0,0.0
ably,ably-chat-js,https://github.com/ably/ably-chat-js/blob/main/CLAUDE.md,1,7,11,0,0,0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,10.428571428571429,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
aldrin-labs,opensvm,https://github.com/aldrin-labs/opensvm/blob/main/CLAUDE.md,1,8,41,0,0,0,8.0,41.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,446.0,54.625,49.5,9.634146341463415,9.0,0.0,0.0,0.0,0.0,0.0,0.0
TulevaEE,onboarding-service,https://github.com/TulevaEE/onboarding-service/blob/master/CLAUDE.md,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miurla,morphic,https://github.com/miurla/morphic/blob/main/CLAUDE.md,1,8,6,0,0,0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,9.875,6.5,7.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
jdereg,json-io,https://github.com/jdereg/json-io/blob/master/CLAUDE.md,1,14,39,4,0,0,14.0,39.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,345.0,23.571428571428573,23.5,6.871794871794871,5.0,3.0,3.5,0.0,0.0,0.0,0.0
isucon,isucon9-qualify,https://github.com/isucon/isucon9-qualify/blob/master/CLAUDE.md,1,3,8,0,0,0,3.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,14.666666666666666,3.0,4.375,4.5,0.0,0.0,0.0,0.0,0.0,0.0
sbalci,jjstatsplot,https://github.com/sbalci/jjstatsplot/blob/master/CLAUDE.md,1,9,16,0,0,0,9.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,108.0,10.88888888888889,11.0,3.4375,3.5,0.0,0.0,0.0,0.0,0.0,0.0
sbalci,ClinicoPathJamoviModule,https://github.com/sbalci/ClinicoPathJamoviModule/blob/master/CLAUDE.md,3,5,12,1,0,0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.333333333333336,61.0,22.8,28.0,8.416666666666666,5.5,9.0,9.0,0.0,0.0,0.0,0.0
promptfoo,promptfoo,https://github.com/promptfoo/promptfoo/blob/main/CLAUDE.md,1,12,20,0,0,0,12.0,20.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,15.583333333333334,9.5,5.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0
