repository_owner,repository_name,file_url,total_h1,total_h2,total_h3,total_h4,total_h5,total_h6,median_h2_under_h1,median_h3_under_h1,median_h4_under_h1,median_h5_under_h1,median_h6_under_h1,median_h3_under_h2,median_h4_under_h2,median_h5_under_h2,median_h6_under_h2,median_h4_under_h3,median_h5_under_h3,median_h6_under_h3,median_h5_under_h4,median_h6_under_h4,median_h6_under_h5,avg_loc_h1,median_loc_h1,avg_loc_h2,median_loc_h2,avg_loc_h3,median_loc_h3,avg_loc_h4,median_loc_h4,avg_loc_h5,median_loc_h5,avg_loc_h6,median_loc_h6
oscript-library,opm,https://github.com/oscript-library/opm/blob/master/.github/copilot-instructions.md,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NewFuture,DDNS,https://github.com/NewFuture/DDNS/blob/master/.github/copilot-instructions.md,0,4,7,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75,12.0,3.7142857142857144,4.0,0.0,0.0,0.0,0.0,0.0,0.0
alandtse,alexa_media_player,https://github.com/alandtse/alexa_media_player/blob/master/.github/copilot-instructions.md,1,4,17,0,0,0,4.0,17.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,24.25,25.5,4.705882352941177,5.0,0.0,0.0,0.0,0.0,0.0,0.0
vespa-engine,pyvespa,https://github.com/vespa-engine/pyvespa/blob/master/.github/copilot-instructions.md,1,6,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,13.833333333333334,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ably,ably-chat-js,https://github.com/ably/ably-chat-js/blob/main/.github/copilot-instructions.md,10,41,40,15,0,0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,21.0,6.2926829268292686,4.0,3.425,3.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0
aldrin-labs,opensvm,https://github.com/aldrin-labs/opensvm/blob/main/.github/copilot-instructions.md,1,6,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jamesmontemagno,feedbackflow,https://github.com/jamesmontemagno/feedbackflow/blob/main/.github/copilot-instructions.md,2,17,29,0,0,0,8.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.5,136.5,14.411764705882353,8.0,5.310344827586207,4.0,0.0,0.0,0.0,0.0,0.0,0.0
jamesmontemagno,bingo-o-matic,https://github.com/jamesmontemagno/bingo-o-matic/blob/main/.github/copilot-instructions.md,1,14,5,0,0,0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,5.785714285714286,4.0,4.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0
twitchax,triage-bot,https://github.com/twitchax/triage-bot/blob/main/.github/copilot-instructions.md,1,6,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,3.6666666666666665,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advance-Technologies-Foundation,clio,https://github.com/Advance-Technologies-Foundation/clio/blob/master/.github/copilot-instructions.md,0,14,15,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.428571428571429,8.5,5.133333333333334,4.0,0.0,0.0,0.0,0.0,0.0,0.0
jdereg,java-util,https://github.com/jdereg/java-util/blob/master/.github/copilot-instructions.md,1,10,26,0,0,0,10.0,26.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,21.3,15.0,6.1923076923076925,5.0,0.0,0.0,0.0,0.0,0.0,0.0
o-ga09,MH-API,https://github.com/o-ga09/MH-API/blob/main/.github/copilot-instructions.md,2,7,6,2,0,0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.285714285714286,4.0,5.666666666666667,3.5,3.0,3.0,0.0,0.0,0.0,0.0
chimurai,requirements,https://github.com/chimurai/requirements/blob/master/.github/copilot-instructions.md,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ubiquiti-community,terraform-provider-unifi,https://github.com/ubiquiti-community/terraform-provider-unifi/blob/main/.github/copilot-instructions.md,1,9,20,0,0,0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,9.11111111111111,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
github-copilot-resources,copilot-metrics-viewer,https://github.com/github-copilot-resources/copilot-metrics-viewer/blob/main/.github/copilot-instructions.md,1,5,15,0,0,0,5.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,21.6,20.0,5.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenCut-app,OpenCut,https://github.com/OpenCut-app/OpenCut/blob/main/.github/copilot-instructions.md,1,6,8,0,0,0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,296.0,48.5,3.5,33.875,28.0,0.0,0.0,0.0,0.0,0.0,0.0
lunary-ai,lunary,https://github.com/lunary-ai/lunary/blob/main/.github/copilot-instructions.md,1,8,11,0,0,0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,15.0,5.5,5.7272727272727275,5.0,0.0,0.0,0.0,0.0,0.0,0.0
caunt,Void,https://github.com/caunt/Void/blob/main/.github/copilot-instructions.md,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
codatio,codat-docs,https://github.com/codatio/codat-docs/blob/main/.github/copilot-instructions.md,1,10,24,0,0,0,10.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,159.0,14.7,14.5,4.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0
clafollett,agenterra,https://github.com/clafollett/agenterra/blob/main/.github/copilot-instructions.md,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheldonhull,sheldonhull.com,https://github.com/sheldonhull/sheldonhull.com/blob/main/.github/copilot-instructions.md,1,5,5,1,0,0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,12.4,10.0,6.0,4.0,13.0,13.0,0.0,0.0,0.0,0.0
