repo_merged,total_files,unique_sources,num_sources,multiple_files,multiple_sources
0x-j/aptos-full-stack-template,1,claude,1,False,False
0x80/isolate-package,1,agents,1,False,False
12noonLLC/LicenseManagerX,1,copilot-instructions,1,False,False
3MFConsortium/gladius,1,copilot-instructions,1,False,False
3rdIteration/btcrecover,1,agents,1,False,False
514-labs/moose,3,agents;claude;copilot-instructions,3,True,True
567-labs/instructor,1,claude,1,False,False
567-labs/kura,1,claude,1,False,False
567-labs/systematically-improving-rag,1,agents,1,False,False
6529-Collections/6529seize-backend,1,agents,1,False,False
AArnott/Nerdbank.MessagePack,1,copilot-instructions,1,False,False
AI-Escape/open-ice,1,agents,1,False,False
AIDotNet/Thor,1,claude,1,False,False
AccelerationConsortium/ac-training-lab,1,copilot-instructions,1,False,False
Advance-Technologies-Foundation/clio,1,copilot-instructions,1,False,False
AfterShip/clickhouse-sql-parser,1,claude,1,False,False
Agoric/agoric-sdk,2,agents;copilot-instructions,2,True,True
AgustinOberg/leshi-ui,2,agents;claude,2,True,True
AhmedElywa/prisma-tools,1,claude,1,False,False
AhmedSalih3d/SPHExample,1,agents,1,False,False
Aiko-IT-Systems/DisCatSharp,1,copilot-instructions,1,False,False
Akira-Papa/Claude-Code-Communication,1,claude,1,False,False
AlexGladkov/JetHabit,1,agents,1,False,False
AlexGreason/NozzleSim,1,agents,1,False,False
Alhem-Software-AB/CppSocketsLibrary,1,agents,1,False,False
AlphaGit/worklogger,1,agents,1,False,False
AmoyLab/Unla,1,claude,1,False,False
AmyJeanes/TARDIS,1,copilot-instructions,1,False,False
AndrewAltimit/template-repo,3,agents;claude;copilot-instructions,3,True,True
Anselmoo/spectrafit,1,copilot-instructions,1,False,False
AntGalanin06/Metadata_Cleaner,1,claude,1,False,False
AodhanHayter/opencode-flake,2,agents;claude,2,True,True
Apollon77/ioBroker.alexa2,1,copilot-instructions,1,False,False
ArcInstitute/SRAgent,1,agents,1,False,False
ArduPilot/MethodicConfigurator,1,copilot-instructions,1,False,False
ArjenSchwarz/fog,1,agents,1,False,False
ArthurSonzogni/FTXUI,1,copilot-instructions,1,False,False
ArtifactLabs/git-recycle-bin,1,agents,1,False,False
AstrBotDevs/AstrBot,1,copilot-instructions,1,False,False
Atyantik/flarekit,1,agents,1,False,False
AustinKelsay/plebdevs,1,agents,1,False,False
AustinKelsay/snstr,2,agents;claude,2,True,True
Azure-Samples/Apim-Samples,1,copilot-instructions,1,False,False
Azure-Samples/adaptive-rag-workbench,1,copilot-instructions,1,False,False
Azure-Samples/aisearch-openai-rag-audio,1,agents,1,False,False
Azure-Samples/azure-ai-travel-agents,2,agents;copilot-instructions,2,True,True
Azure-Samples/azure-search-openai-demo,1,agents,1,False,False
Azure-Samples/eShopLite,1,copilot-instructions,1,False,False
